air-force,Air Force,[Air Force](#f/airforce)
akron,Akron,[Akron](#f/akron)
alabama,Alabama,[Alabama](#f/alabama)
appalachian-st,Appalachian State,[Appalachian State](#f/appalachianstate)
arizona,Arizona,[Arizona](#f/arizona)
arizona-st,Arizona State,[Arizona State](#f/arizonastate)
arkansas,Arkansas,[Arkansas](#f/arkansas)
arkansas-st,Arkansas State,[Arkansas State](#f/arkansasstate)
army,Army,[Army](#f/army)
auburn,Auburn,[Auburn](#f/auburn)
ball-st,Ball State,[Ball State](#f/ballstate)
baylor,Baylor,[Baylor](#f/baylor)
boise-st,Boise State,[Boise State](#f/boisestate)
boston-college,Boston College,[Boston College](#f/bostoncollege)
bowling-green,Bowling Green,[Bowling Green](#f/bowlinggreen)
buffalo,Buffalo,[Buffalo](#f/buffalo)
byu,BYU,[BYU](#f/byu)
california,California,[California](#f/california)
central-mich,Central Michigan,[Central Michigan](#f/centralmichigan)
charlotte,Charlotte,[Charlotte](#f/charlotte)
cincinnati,Cincinnati,[Cincinnati](#f/cincinnati)
clemson,Clemson,[Clemson](#f/clemson)
colorado,Colorado,[Colorado](#f/colorado)
colorado-st,Colorado State,[Colorado State](#f/coloradostate)
uconn,Connecticut,[Connecticut](#f/connecticut)
duke,Duke,[Duke](#f/duke)
east-carolina,East Carolina,[East Carolina](#f/eastcarolina)
eastern-mich,Eastern Michigan,[Eastern Michigan](#f/easternmichigan)
florida,Florida,[Florida](#f/florida)
fla-atlantic,Florida Atlantic,[Florida Atlantic](#f/floridaatlantic)
fiu,Florida International,[Florida International](#f/floridainternational)
florida-st,Florida State,[Florida State](#f/floridastate)
fresno-st,Fresno State,[Fresno State](#f/fresnostate)
georgia,Georgia,[Georgia](#f/georgia)
ga-southern,Georgia Southern,[Georgia Southern](#f/georgiasouthern)
georgia-st,Georgia State,[Georgia State](#f/georgiastate)
georgia-tech,Georgia Tech,[Georgia Tech](#f/georgiatech)
hawaii,Hawaii,[Hawai'i](#f/hawaii)
houston,Houston,[Houston](#f/houston)
idaho,Idaho,[Idaho](#f/idaho)
illinois,Illinois,[Illinois](#f/illinois)
indiana,Indiana,[Indiana](#f/indiana)
iowa,Iowa,[Iowa](#f/iowa)
iowa-st,Iowa State,[Iowa State](#f/iowastate)
kansas,Kansas,[Kansas](#f/kansas)
kansas-st,Kansas State,[Kansas State](#f/kansasstate)
kent-st,Kent State,[Kent State](#f/kentstate)
kentucky,Kentucky,[Kentucky](#f/kentucky)
louisiana-tech,Louisiana Tech,[Louisiana Tech](#f/louisianatech)
